p,t,success,alpha,x11,x12,x22,value,const_value,dist_to_constant,category,is_constant_minimizer
0.01,0.24,True,0.2425920535696961,0.9889037892344349,0.011096271528524335,0.01004033063364185,0.2644505663497933,0.5617991717988301,0.7489037892344349,one_dense_x11,False
0.01,0.25,True,0.25270553850192917,0.988905838808573,0.011094227528597308,0.01003878800007059,0.28695954505101967,0.5964951537683405,0.738905838808573,one_dense_x11,False
0.01,0.26,True,0.26281896463796633,0.9889077281071755,0.011092337992597637,0.010037360864840427,0.31038760977700597,0.6317245797570744,0.7289077281071755,one_dense_x11,False
0.01,0.27,True,0.27293234693260543,0.9889094512544788,0.011090589378729417,0.01003603759408177,0.33473476501086263,0.6674738552612437,0.7189094512544788,one_dense_x11,False
0.01,0.28,True,0.28304568103372874,0.9889110656821362,0.011088970996906753,0.010034811855635243,0.36000101470854057,0.7037305764437124,0.7089110656821361,one_dense_x11,False
0.01,0.29,True,0.2931589746323416,0.9889125763101161,0.011087466914372348,0.010033675118571896,0.38618636198367895,0.7404834097998525,0.698912576310116,one_dense_x11,False
0.01,0.3,True,0.30327223842926426,0.988913974856624,0.011086062919437577,0.0100326118439521,0.41329080976970256,0.7777219888389849,0.688913974856624,one_dense_x11,False
0.01,0.31,True,0.31338547221516644,0.9889152860477002,0.011084746165979641,0.010031617426463387,0.4413143605971104,0.8154368249696371,0.6789152860477001,one_dense_x11,False
0.01,0.32,True,0.32349867990342046,0.9889165164972984,0.011083514773459034,0.010030682801992504,0.47025701665620323,0.8536192303241438,0.6689165164972983,one_dense_x11,False
0.01,0.33,True,0.333611864377313,0.988917673758634,0.011082359355030163,0.010029814252690224,0.5001187796960175,0.8922612506857107,0.658917673758634,one_dense_x11,False
0.01,0.34,True,0.3437250311528779,0.988918755956869,0.011081273566592564,0.010028991723489126,0.5308996515683266,0.9313556070181066,0.648918755956869,one_dense_x11,False
0.01,0.35,True,0.35383817842814613,0.988919781312659,0.011080235324743318,0.01002819661633939,0.5625996336528576,0.9708956443659753,0.638919781312659,one_dense_x11,False
0.01,0.36,True,0.36395131209828313,0.9889207421164581,0.011079277804211907,0.01002748626571868,0.5952187272849261,1.0108752871082523,0.6289207421164581,one_dense_x11,False
0.01,0.37,True,0.37406442970436227,0.9889216558366728,0.011078363627791797,0.010026786990715474,0.6287569336297099,1.051288999720237,0.6189216558366728,one_dense_x11,False
0.01,0.38,True,0.3841775309480674,0.9889225304273265,0.011077496034195005,0.010026134161077744,0.6632142538325108,1.0921317523405376,0.6089225304273265,one_dense_x11,False
0.01,0.39,True,0.3942906233385388,0.9889233529831613,0.011076676768809714,0.010025514890121798,0.6985906887460362,1.133398990554182,0.5989233529831612,one_dense_x11,False
0.01,0.4,True,0.40440370818782245,0.9889241270881768,0.011075897223646153,0.010024922536165215,0.7348862391944448,1.175086608898081,0.5889241270881768,one_dense_x11,False
0.01,0.41,True,0.41451678138638914,0.9889248684672834,0.01107515577265079,0.010024362775856773,0.7721009060753617,1.2171909276737325,0.5789248684672834,one_dense_x11,False
0.01,0.42,True,0.4246298475990725,0.9889255705564926,0.01107445070723876,0.010023826703466025,0.810234690038002,1.259708672717876,0.5689255705564926,one_dense_x11,False
0.01,0.43,True,0.4347429062425957,0.988926239322221,0.011073773579180397,0.01002331017518961,0.8492875916578523,1.302636957837209,0.558926239322221,one_dense_x11,False
0.01,0.44,True,0.4448559522352593,0.9889268895329073,0.011073132147463586,0.010022826785659158,0.8892596114559786,1.3459732696603481,0.5489268895329074,one_dense_x11,False
0.01,0.45,True,0.45496899614174613,0.9889275009991078,0.011072520528894831,0.010022364186560953,0.9301507501194802,1.3897154547004784,0.5389275009991077,one_dense_x11,False
0.01,0.46,True,0.4650820358839712,0.9889280820151449,0.011071928183085174,0.010021918514450006,0.97196100804254,1.4338617084570136,0.528928082015145,one_dense_x11,False
0.01,0.47,True,0.4751950658504032,0.9889286467638656,0.011071369520629806,0.010021491470168719,1.0146903855651976,1.4784105664150196,0.5189286467638656,one_dense_x11,False
0.01,0.48,True,0.4853080939816613,0.9889291813876777,0.011070829830438379,0.010021086341925662,1.0583388832508982,1.5233608968281431,0.5089291813876777,one_dense_x11,False
0.01,0.49,True,0.49542111680770057,0.988929695342454,0.011070310951764317,0.010020692543783856,1.1029065014010362,1.5687118951949721,0.498929695342454,one_dense_x11,False
0.01,0.5,True,0.49446586883021487,0.010020317527570495,0.01106981785252717,0.9889301965828092,1.148393240293184,1.614463080360851,0.4899796824724295,one_dense_x22,False
0.01,0.51,True,0.48435285496456953,0.01001995747096342,0.011069344146176703,0.9889306713307184,1.1947991002644356,1.660614292197664,0.4999800425290366,one_dense_x22,False
0.01,0.52,True,0.4742398386744308,0.010019615409054036,0.011068885848214952,0.9889311162601243,1.2421240816649628,1.7071656908335267,0.509980384590946,one_dense_x22,False
0.01,0.53,True,0.4641268404941318,0.010019282930362295,0.01106844673900914,0.9889315713312452,1.290368184705425,1.7541177574230948,0.5199807170696378,one_dense_x22,False
0.01,0.54,True,0.4540138377306561,0.010018965309685069,0.01106802206264107,0.9889319953826782,1.3395314096007869,1.8014712964677808,0.529981034690315,one_dense_x22,False
0.01,0.55,True,0.44390083643221573,0.010018650174617769,0.011067612793720446,0.9889324012584996,1.3896137566702162,1.849227439713938,0.5399813498253823,one_dense_x22,False
0.01,0.56,True,0.4337878382294937,0.010018354734900972,0.011067217227422769,0.9889327931307016,1.440615226072231,1.8973876516764991,0.5499816452650991,one_dense_x22,False
0.01,0.57,True,0.42367484108658326,0.010018064805002188,0.011066837099758406,0.9889331685192285,1.4925358179923027,1.945953736856052,0.5599819351949977,one_dense_x22,False
0.01,0.58,True,0.41356185086657643,0.01001779040257962,0.0110664711384529,0.9889335384573802,1.5453755325976801,1.99492784873941,0.5699822095974203,one_dense_x22,False
0.01,0.59,True,0.4034488601862653,0.010017522353221025,0.011066116308697563,0.9889338912977987,1.5991343701073857,2.0443125006979592,0.5799824776467789,one_dense_x22,False
0.01,0.6,True,0.3933358701219286,0.010017258196586377,0.011065773748707512,0.988934229843916,1.6538123306318238,2.0941105789249987,0.5899827418034136,one_dense_x22,False
0.01,0.61,True,0.3832228837687267,0.010017003423384817,0.011065439708764448,0.9889345600344391,1.7094094143699066,2.144325357583792,0.5999829965766151,one_dense_x22,False
